workout_time_usec,stroke_time_usec,tick_duration_usec,inst_drag,stroke_power,inst_spm
1003515552,1299270,-24494,33.325448,195.805366,26.1
1003615941,1399659,-26804,27.8258,195.805366,26.1
1003740161,1523879,-35856,15.545888,195.805366,26.1
1003906059,1689777,-41313,11.7128,195.805366,26.1
1004053005,1836723,-36736,14.818568,195.805366,26.1
1004222516,2006234,-50435,7.856648,195.805366,26.1
1004441536,0,219020,0.415872,195,26.9
1004608230,166694,37311,14.3648,14.780672,26.9
1004741520,299984,31123,20.646738,35.42741,26.9
1004854258,412722,26591,28.2752,63.70261,26.9
1004953115,511579,23776,35.36405,99.06666,26.9
1005045129,603593,22614,39.108168,138.174828,26.9
1005135785,694249,22677,38.878562,177.05339,26.9
1005229661,788125,23982,34.761122,211.814512,26.9
1005552176,1110640,-34801,16.508258,211.814512,26.9
1005662469,1220933,-26467,28.546568,211.814512,26.9
1005764828,1323292,-26055,29.460488,211.814512,26.9
1005869594,1428058,-27923,25.647122,211.814512,26.9
1005996532,1554996,-35493,15.870978,211.814512,26.9
1006153876,1712340,-39996,12.5,211.814512,26.9
1006292963,1851427,-34261,17.029448,211.814512,26.9
1006451495,2009959,-47366,8.912642,211.814512,26.9
1006714119,0,59759,5.597858,211,26.4
1006878859,164740,37647,14.108672,19.70653,26.4
1007131702,417583,27532,26.382848,65.658146,26.4
1007234313,520194,24594,33.064712,98.722858,26.4
1007329058,614939,23327,36.739592,135.46245,26.4
1007422527,708408,23282,36.89405,172.3565,26.4
1007518949,804830,24675,32.837408,205.193908,26.4
1008141595,1427476,-27015,27.394802,205.193908,26.4
1008266373,1552254,-33507,17.808512,205.193908,26.4
1008395869,1681750,-31645,19.9712,205.193908,26.4
1008522206,1808087,-33230,18.108162,205.193908,26.4
1008676191,1962072,-45568,9.627272,205.193908,26.4
1009009008,0,46866,9.099378,205,26.1
1009172431,163423,37853,13.949762,23.04914,26.1
1009306623,297615,31512,20.135858,43.184998,26.1
1009421986,412978,27378,26.674208,69.859206,26.1
1009525599,516591,25015,31.952018,101.811224,26.1
1009622900,613892,23993,34.727778,136.539002,26.1
1009718763,709755,23972,34.794482,171.333484,26.1
1009817546,808538,25273,31.299872,202.633356,26.1
1010146482,1137474,-37311,14.3648,202.633356,26.1
1010260358,1251350,-26565,28.335392,202.633356,26.1
1010360193,1351185,-24616,32.999688,202.633356,26.1
1010459672,1450664,-26193,29.138978,202.633356,26.1
1010576451,1567443,-32789,18.592802,202.633356,26.1
1010745531,1736523,-47143,8.997282,202.633356,26.1
1010905100,1896092,-37904,13.918088,202.633356,26.1
1011079578,2070570,-52338,7.2962,202.633356,26.1
1011364738,0,49055,8.306888,202,25.4
1011528010,163272,37475,14.236448,22.543336,25.4
1011662830,298092,31818,19.744328,42.287664,25.4
1011778094,413356,27071,27.276498,69.564162,25.4
1011879262,514524,24233,34.047752,103.611914,25.4
1011973019,608281,23020,37.740672,141.352586,25.4
1012065327,700589,23115,37.428552,178.781138,25.4
1012161061,796323,24477,33.37445,212.155588,25.4
1012507251,1142513,-37262,14.396978,212.155588,25.4
1012628172,1263434,-29275,23.32445,212.155588,25.4
1012740445,1375707,-27906,25.675778,212.155588,25.4
1012850522,1485784,-28705,24.262578,212.155588,25.4
1012968956,1604218,-32205,19.28205,212.155588,25.4
1013127863,1763125,-44012,10.323968,212.155588,25.4
1013289632,1924894,-39632,12.731058,212.155588,25.4
1013462916,2098178,-51311,7.589408,212.155588,25.4
1013729983,0,61770,5.235848,212,25.3
1013899914,169931,38794,13.281858,18.517706,25.3
1014036043,306060,31444,20.2248,38.742506,25.3
1014250729,520746,24050,34.577928,101.027002,25.3
1014344225,614242,22951,37.966898,138.9939,25.3
1014436312,706329,22952,37.949472,176.943372,25.3
1014531536,801553,24346,33.734898,210.67827,25.3
1014876081,1146098,-36261,15.202098,210.67827,25.3
1014994294,1264311,-28660,24.346242,210.67827,25.3
1015102365,1372382,-27197,27.025952,210.67827,25.3
1015210925,1480942,-28521,24.584072,210.67827,25.3
1015341102,1611119,-37367,14.321952,210.67827,25.3
1015539152,1809169,-50454,7.856648,210.67827,25.3
